source,id,date,text,engagement_score,rating_if_available,previous_category,price_label,key_phrase
playstore,4106f4bb-62c8-4746-96e3-a7aeb1b71f64,2026-08-19T20:34:42,amazing it save my lots of money....💝i love it,0,5,saving_money_general,price_sentiment_generic,it save my lots of money
playstore,7be12f85-3049-4cba-9bde-066ce1b627a4,2026-08-19T19:48:49,The prices are expensive but the quality is great and I would love to shop here,0,4,purchase_hesitation_price,price_sentiment_generic,The prices are expensive but the quality is great and I would love to shop here
playstore,8e507734-7f37-499d-84c6-bd2065015978,2026-08-19T12:50:53,"Good, but not budget friendly for everyone!",0,5,price_consideration,price_sentiment_generic,not budget friendly for everyone
playstore,4c879ee9-e47f-45e1-9fe0-d94e609c8ed6,2026-08-19T10:53:16,Rates is too higher,0,5,price_consideration,price_sentiment_generic,Rates is too higher
playstore,de0fe98b-828b-4ebf-a3c3-95c98e38c29f,2026-08-19T10:31:51,good but costly,0,5,price_consideration,price_sentiment_generic,costly
playstore,0c8fd125-4ab7-417b-bdb2-034fb382a058,2026-08-18T19:08:03,"it's an amazing app,gives discount on many occasions.",0,5,price_sale_timing,price_sentiment_generic,gives discount on many occasions
playstore,4924227c-d940-4bf3-b878-c042b0052976,2026-08-18T13:31:44,"One of the best online shopping apps for fashion and lifestyle products. It offers a wide range of clothing, footwear, accessories, and beauty products from popular brands. The app is user-friendly, with easy navigation and secure payment options. Delivery is usually fast, and the return/exchange process is simple and hassle-free. Regular discounts and sales make shopping more affordable. Overall, Myntra provides a convenient and enjoyable shopping experience. ⭐⭐⭐⭐⭐",0,5,price/sale timing,price_sentiment_generic,Regular discounts and sales make shopping more affordable
playstore,7714c45a-1ad2-44bf-a69e-95d20a924751,2026-08-18T13:12:12,only genuine products and a lot of discount,1,5,price/sale timing considerations,price_sentiment_generic,a lot of discount
playstore,8ef51384-9f22-40a9-8859-a6792cfb8d8a,2026-08-18T10:52:01,good quality and best offers discount by myntra fashion shopping,0,5,price/sale timing considerations,price_sentiment_generic,best offers discount
playstore,c3acc51e-8953-40f3-bd54-f6f0216dda8c,2026-08-18T05:40:30,This app Product advertisement coming discount on this app when I'm booking the product it's confirmed same offer at the booking time after 2 days it's getting ato cancelled without any issue I'm seeing worst application.,0,1,purchase_hesitation_price_timing,price_deferral,Product advertisement coming discount on this app when I'm booking the product it's confirmed same offer at the booking time after 2 days it's getting ato cancelled
