source,id,date,text,engagement_score,rating_if_available
playstore,90e46fdc-d7d7-4858-8957-8801ed1ba923,2026-08-19T12:52:26,Myntra is honestly one of my favourite shopping apps! ❤️ The app is very easy to use. the collection is amazing & there are always great discounts & offers. I love how easy it is to search products compare options & check reviews before buying. The product variety is excellent & the overall shopping experience is smooth and convenient. 🛍️ Delivery & packaging have also been good in my experience & the return/exchange process is quite convenient. Thank u Myntra for making online shopping so easy,0,5
playstore,19a89791-29b9-4f9f-a7e1-af1173b777a8,2026-08-18T17:58:28,my all time favourite perfume,0,5
playstore,b010b647-f1e6-4719-b81c-1fc7ef6942a9,2026-08-18T15:40:05,"Myntra is one of my favourite shopping apps! 🛍️✨ The app is easy to use, has a great variety of products, and the offers and discounts are really helpful. I also love the Glam Clan feature—it makes shopping even more fun! Overall, a great experience with Myntra. ❤️",0,5
playstore,32a739f4-a2c2-4d8e-b4a7-c07bb033bf79,2026-08-18T09:40:23,My favourite clothing store👌👌✌️,0,5
playstore,2b1f34cd-8fe9-485b-8c99-5cc7a0432850,2026-08-18T00:54:09,"⭐⭐⭐⭐⭐ Myntra is one of my favourite shopping apps. The collection is really good, prices and offers are attractive, and ordering is easy. Delivery is also quite convenient. Overall, I have had a good shopping experience with Myntra and would definitely recommend it. ❤️",0,5
playstore,ff3aebad-bc77-4e12-8b58-2bd504522206,2026-08-17T18:06:17,my favourite shopping app,0,4
playstore,ef30862d-30fc-4ac8-b04d-3c90b8105c2e,2026-08-17T15:51:05,my favourite online shopping store ❤️💝 Myntra 😍🙂,0,5
playstore,742a495f-257c-4053-a650-0591271c2941,2026-08-17T12:31:38,my favorite online shopping portal for all.my favorite things,0,5
playstore,3443f092-5912-405d-bdb5-eeffd0e9b11e,2026-08-17T10:27:11,Myntra is my all time favourite Thank you Myntra,0,5
playstore,689e8c81-d47f-474e-bad6-0c117d0c035d,2026-08-16T21:06:17,Myntra my all time favourite place to shop🥰,0,5
playstore,e1440994-344c-4216-888e-b0eea3a5954d,2026-08-16T20:04:25,"MYNTRA is my favourite app. because it has many good things and a very good return policy, branded products which leads to customer satisfaction. so, I'm happy with my myntra.💕💕💕",0,5
appstore,14450228382,2026-08-20T03:09:41-07:00,"Amazing Shopping Experience ❤️✨

Absolutely love shopping on Myntra! ❤️ The collection is amazing and there are so many stylish options to choose from. The app is easy to use, product variety is great, and the overall shopping experience is really smooth. I also love the discounts and offers available on different brands. Delivery and packaging have been good too. Overall, Myntra is one of my favourite fashion shopping apps. Highly recommended! ⭐⭐⭐⭐⭐",0,5
appstore,14447989453,2026-08-19T12:21:38-07:00,"Best app

One of my favourite app best shopping app thanks Myntra",0,5
appstore,14445712955,2026-08-18T23:42:21-07:00,"Best shopping aap ever

Easy to use .. very friendly.. and my favourite clothes shopping aap ever",0,5
appstore,14443134836,2026-08-18T07:58:37-07:00,"Indo Era kurta set

Info era is my favourite kurta set brand ❤️❤️ 
Luvd the stuff and colour combination…. Full size Duptta 
True to size … you can definitely purchase this without any second thought ❤️❤️👍🏻👍🏻",0,4
appstore,14440293456,2026-08-17T14:18:16-07:00,"My favourite app

My favourite app for shopping, genuine products",0,5
appstore,14439501548,2026-08-17T09:53:21-07:00,"Best shopping app

My favourite shopping app Myntra 100% original quality",0,5
youtube,UgzUXNcYImFYlL-SAnB4AaABAg,2026-08-20T17:01:15Z,Didi ka favorites song h shayad😭🤌🏻,0,
