source,id,date,text,engagement_score,rating_if_available,matched_keywords
playstore,1a198116-2759-4c04-8837-354ea0fd2f10,2026-08-21T18:07:44,"⭐⭐⭐⭐⭐ Myntra is one of my favorite shopping apps! The collection is amazing, the app is easy to use, and the overall shopping experience is smooth and convenient. Great choice for fashion and lifestyle shopping! 🛍️✨",0,5,favorite
playstore,d540e989-045a-409e-8f8e-3e2559b4fa6c,2026-08-21T15:23:37,"exploring wishlist, wishlisted , bookmark",0,4,wishlist; bookmark
playstore,fa1100fe-9a17-42bb-a06f-50458cb5a647,2026-08-20T21:27:46,"Myntra is one of my favorite shopping apps! 🛍️ The app is easy to use, the collection is amazing, and the delivery experience has been really good. I also love the variety of fashion products and offers. ❤️ Overall, a smooth and reliable shopping experience. Highly recommended! 👌✨",0,5,favorite
playstore,d70f968c-edbc-4dc7-9374-e004ede1a42c,2026-08-20T09:51:07,"Myntra ka interface bahut smooth hai aur ispar kapdon ke latest trends aasani se mil jaate hain. Delivery aur size guides bhi kaafi acche hain, isliye ye shopping ke liye mera favorite app hai.""",0,4,favorite
playstore,d4ceaba2-d2c0-441f-917e-63fb8f84f087,2026-08-20T08:34:40,my favourite app,0,5,favourite
playstore,90e46fdc-d7d7-4858-8957-8801ed1ba923,2026-08-19T12:52:26,Myntra is honestly one of my favourite shopping apps! ❤️ The app is very easy to use. the collection is amazing & there are always great discounts & offers. I love how easy it is to search products compare options & check reviews before buying. The product variety is excellent & the overall shopping experience is smooth and convenient. 🛍️ Delivery & packaging have also been good in my experience & the return/exchange process is quite convenient. Thank u Myntra for making online shopping so easy,0,5,favourite
playstore,19a89791-29b9-4f9f-a7e1-af1173b777a8,2026-08-18T17:58:28,my all time favourite perfume,0,5,favourite
playstore,b010b647-f1e6-4719-b81c-1fc7ef6942a9,2026-08-18T15:40:05,"Myntra is one of my favourite shopping apps! 🛍️✨ The app is easy to use, has a great variety of products, and the offers and discounts are really helpful. I also love the Glam Clan feature—it makes shopping even more fun! Overall, a great experience with Myntra. ❤️",0,5,favourite
playstore,32a739f4-a2c2-4d8e-b4a7-c07bb033bf79,2026-08-18T09:40:23,My favourite clothing store👌👌✌️,0,5,favourite
playstore,2b1f34cd-8fe9-485b-8c99-5cc7a0432850,2026-08-18T00:54:09,"⭐⭐⭐⭐⭐ Myntra is one of my favourite shopping apps. The collection is really good, prices and offers are attractive, and ordering is easy. Delivery is also quite convenient. Overall, I have had a good shopping experience with Myntra and would definitely recommend it. ❤️",0,5,favourite
playstore,ff3aebad-bc77-4e12-8b58-2bd504522206,2026-08-17T18:06:17,my favourite shopping app,0,4,favourite
playstore,ef30862d-30fc-4ac8-b04d-3c90b8105c2e,2026-08-17T15:51:05,my favourite online shopping store ❤️💝 Myntra 😍🙂,0,5,favourite
playstore,742a495f-257c-4053-a650-0591271c2941,2026-08-17T12:31:38,my favorite online shopping portal for all.my favorite things,0,5,favorite
playstore,3443f092-5912-405d-bdb5-eeffd0e9b11e,2026-08-17T10:27:11,Myntra is my all time favourite Thank you Myntra,0,5,favourite
appstore,14454065885,2026-08-21T02:08:17-07:00,"Very nice app

All time favourite pur here",0,5,favourite
